kecamatan,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²)
Andir,99119,4.22,23487.91
Antapani,80530,4.22,19082.94
Arcamanik,80387,7.59,10591.17
Astanaanyar,73232,2.68,27325.37
Babakan Ciparay,143651,7.07,20318.39
Bandung Kidul,61419,5.42,11331.92
Bandung Kulon,136622,6.95,19657.84
Bandung Wetan,28848,3.44,8386.05
Batununggal,121469,4.82,25201.04
Bojongloa Kaler,124323,3.12,39847.12
Bojongloa Kidul,87988,5.2,16920.77
Buahbatu,104434,7.46,13999.2
Cibeunying Kaler,70662,4.64,15228.88
Cibeunying Kidul,113535,4.14,27423.91
Cibiru,76236,6.84,11145.61
Cicendo,96382,7.79,12372.53
Cidadap,54680,8.42,6494.06
Cinambo,25585,4.25,6020.0
Coblong,115273,7.31,15769.22
Gedebage,42071,9.96,4224.0
Kiaracondong,131413,5.8,22657.41
Lengkong,71000,5.91,12013.54
Mandalajati,73956,4.8,15407.5
Panyileukan,40772,5.31,7678.34
Rancasari,86725,7.01,12371.61
Regol,80609,4.74,17006.12
Sukajadi,103066,5.28,19520.08
Sukasari,77576,6.36,12197.48
Sumur Bandung,38323,3.49,10980.8
Ujungberung,90562,6.24,14513.14
