fnb_kecamatan,kepadatan_kecamatan,match_type,similarity,fnb_count,status
Andir,Andir,exact,1.0,188,matched
Antapani,Antapani,exact,1.0,95,matched
Arcamanik,Arcamanik,exact,1.0,60,matched
Astanaanyar,Astanaanyar,exact,1.0,73,matched
Babakan Ciparay,Babakan Ciparay,exact,1.0,86,matched
Bandung Kidul,Bandung Kidul,exact,1.0,68,matched
Bandung Kulon,Bandung Kulon,exact,1.0,60,matched
Bandung Wetan,Bandung Wetan,exact,1.0,817,matched
Batununggal,Batununggal,exact,1.0,183,matched
Bojongloa Kaler,Bojongloa Kaler,exact,1.0,78,matched
Bojongloa Kidul,Bojongloa Kidul,exact,1.0,95,matched
Buahbatu,Buahbatu,exact,1.0,77,matched
Cibeunying Kaler,Cibeunying Kaler,exact,1.0,168,matched
Cibeunying Kidul,Cibeunying Kidul,exact,1.0,133,matched
Cibiru,Cibiru,exact,1.0,28,matched
Cicendo,Cicendo,exact,1.0,289,matched
Cidadap,Cidadap,exact,1.0,147,matched
Cinambo,Cinambo,exact,1.0,12,matched
Coblong,Coblong,exact,1.0,534,matched
Gedebage,Gedebage,exact,1.0,31,matched
Kiaracondong,Kiaracondong,exact,1.0,106,matched
Kota Bandung,Kota Bandung,exact,1.0,1,matched
Lengkong,Lengkong,exact,1.0,408,matched
Mandalajati,Mandalajati,exact,1.0,29,matched
Panyileukan,Panyileukan,exact,1.0,40,matched
Rancasari,Rancasari,exact,1.0,21,matched
Regol,Regol,exact,1.0,138,matched
Sukajadi,Sukajadi,exact,1.0,385,matched
Sukasari,Sukasari,exact,1.0,174,matched
Sumur Bandung,Sumur Bandung,exact,1.0,565,matched
Ujung Berung,Ujung Berung,exact,1.0,27,matched
Pasar Kreatif,,none,0.0,1,unmatched
Night Cullinary,,none,0.0,1,unmatched
Babakan Tarogong Bojongloa Kaler,,none,0.0,1,unmatched
Jatinangor,,none,0.0,1,unmatched
Cimahi Selatan,,none,0.0,2,unmatched
Tanjungsari,,none,0.0,1,unmatched
Cimenyan,,none,0.0,50,unmatched
Margahayu,,none,0.0,8,unmatched
Bojongsoang,,none,0.0,1,unmatched
Indah,,none,0.0,1,unmatched
Sumurbandung,,none,0.0,21,unmatched
Bandung Barat,,none,0.0,1,unmatched
Pringsewu,,none,0.0,1,unmatched
Lembang,,none,0.0,11,unmatched
Taman Penatayudha,,none,0.0,4,unmatched
0Km,,none,0.0,1,unmatched
Taman Sari,,none,0.0,1,unmatched
Dayeuhkolot,,none,0.0,1,unmatched
Rancabali,,none,0.0,2,unmatched
Cilengkrang,,none,0.0,2,unmatched
Barat,,none,0.0,1,unmatched
Soreang,,none,0.0,2,unmatched
Margaasih,,none,0.0,8,unmatched
Coblong Bandung,,none,0.0,1,unmatched
Novi Beograd,,none,0.0,1,unmatched
Bandung Utara,,none,0.0,1,unmatched
Jawa Barat,,none,0.0,1,unmatched
Istiqamah,,none,0.0,1,unmatched
"Coblong, Kota",,none,0.0,1,unmatched
Baleendah,,none,0.0,1,unmatched
Parongpong,,none,0.0,4,unmatched
Bandung,,none,0.0,13,unmatched
Cimahi Utara,,none,0.0,1,unmatched
